body_subsite	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque	subgingival_plaque	supragingival_plaque
Sample	700103497	700103496	700106940	700106939	700097304	700097303	700099015	700099014	700097644	700097643	700097247	700097246	700099072	700099071	700095366	700095365	700099603	700099602	700098372	700098371	700098280	700098279	700015284	700015281	700014992	700014989	700100240	700100239	700015660	700015657	700099759	700099758	700016353	700016352	700016308	700016307	700102918	700102917	700102255	700102254	700102598	700102597	700033018	700033015	700101651	700101650	700033475	700033472	700033739	700033738	700033143	700033142	700096603	700096602	700108297	700108296	700109330	700109329	700096280	700096279	700095969	700095968	700109820	700109819	700108486	700108485	700108795	700108794	700108051	700108050	700107829	700107828	700110234	700110233	700109462	700109461	700105048	700105047	700106711	700106710	700106561	700106560	700110168	700110167	700114177	700114176	700110600	700110599	700111518	700111517	700110657	700110656	700038966	700038965	700109396	700109395	700105790	700105789	700038588	700038587	700111824	700111823	700111452	700111451	700105982	700105981	700110714	700110713	700038751	700038750	700106405	700106406	700106503	700106502	700110432	700110431	700105163	700105162	700109243	700109242	700105476	700105475	700110366	700110365	700105932	700105931	700105892	700105891	700103288	700103287	700111039	700111038	700106075	700106074	700114010	700114009	700024459	700024458	700105676	700105675	700038492	700038491	700105844	700105843	700105410	700105409	700038020	700038019	700114285	700114284	700038693	700038692	700113494	700113493	700023814	700023813	700105220	700105219	700114115	700114114	700103440	700103439	700038540	700038539	700114606	700114605	700023446	700023445	700023934	700023933	700024507	700024506	700023652	700023651	700037549	700037548	700023871	700023870	700106009	700106008	700024147	700024146	700024200	700024199	700037445	700037444	700024603	700024602	700113560	700113559	700024797	700024796	700113111	700113110	700024306	700024305	700024699	700024698	700024750	700024749	700024864	700024863	700038223	700038222	700113023	700113022	700106867	700106866	700113065	700113064	700038353	700038352	700037133	700037132	700037697	700037696	700105579	700105578	700114339	700114338	700110825	700110824	700103573	700103572	700110300	700110299	700111587	700111586	700109120	700109119
OTU9710005	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	4	1	0	0	0	0	0	9	7	2	0	4	2	0	0	0	0	1	0	0	0	0	0	5	3	1	15	0	0	2	2	5	4	0	0	0	0	2	1	1	0	5	2	1	12	1	0	1	2	1	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	7	0	0	0	0	0	26	0	5	0	5	2	0	0	0	0	15	10	1	0	0	10	17	1	0	0	0	0	0	1	25	7	29	24	0	0	1	0	30	19	0	3	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	10	5	0	0	1	3	0	1	2	2	5	19	0	1	1	0	3	7	7	17	0	0	0	0	1	0	1	9	0	1	0	0	1	2	15	27	1	0	1	0	0	0	0	9	1	0	0	1	1	0	1	1	1	0	0	0	4	0	0	0	0	0	35	26	0	0	2	0	1	1	0	0	3	1	5	17	0	0	1	1
OTU9710006	131	168	52	57	0	2	2	1	0	2	0	1	0	0	2	4	0	0	0	0	0	0	9	5	8	9	0	0	2	3	2	3	11	17	27	34	0	0	0	0	0	0	71	73	0	0	19	15	25	31	1	4	3	0	0	2	1	2	0	2	0	0	0	2	1	6	1	6	0	0	1	4	2	5	0	7	108	188	2	20	0	30	0	0	8	8	0	4	0	1	2	0	428	340	0	0	16	87	25	167	0	4	0	0	17	1	3	1	160	145	21	40	5	13	0	1	66	26	0	1	14	26	1	1	2	15	38	87	137	60	1	1	33	30	3	31	88	62	3	2	55	29	23	6	26	86	43	40	9	18	13	95	0	14	14	29	0	2	2	6	1	4	61	32	6	4	17	15	13	128	7	15	5	13	5	6	36	10	2	1	21	9	2	5	152	82	63	55	9	4	44	35	4	20	17	5	7	6	5	15	49	11	3	13	47	23	11	18	46	27	6	17	8	9	37	36	7	17	17	0	1	0	51	98	11	2	0	0	2	0
OTU9710007	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	5	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	4	0	0	17	13	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU9710081	0	0	0	0	4	0	0	0	1	0	0	0	7	0	28	0	4	0	0	0	2	5	1	2	9	1	0	0	7	1	4	0	11	5	6	3	0	0	2	4	54	3	2	0	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	1	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	2	0	2	0	13	0	0	0	1	0	0	0	6	0	0	0	0	0	3	0	0	0	1	0	2	0	12	3	2	0	2	0	0	0	2	0	4	0	30	1	0	0	1	0	0	0	3	0	15	2	3	4	4	0	1	6	0	0	6	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	20	0	3	0	0	0	0	3	6	1	1	0	0	0	4	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU9710093	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	3	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	4	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	3	11	5	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	0	0
OTU9710103	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	16	20	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	2	3	5	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	3	8	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	2	1	1	0	0	0	0	0	0
OTU9710111	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	5	0	0	0	1	0	0	4	2	2	2	1	4	0	3	0	0	0	0	1	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	1	3	3	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0	0
OTU9710115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	3	2	4	1	6	0	0	0	0	0	1	0	0	2	3	0	7	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	39	0	0	0	0	1	0	0	0	0	6	4	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	2	6	2	5	0	0	7	8	22	7	0	1	0	1	0	0	0	0	0	0	2	2	0	0	2	3	2	1	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	19	1	0	0	0	0	0
OTU9710128	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	2	1	0	0	1	0	0	2	0	0	0	2	0	1	0	4	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	3	4	0	0	0	0	0	3	0	1	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	1	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0
